"CUSTOMER_ID","ACQUISITION_TYPE","REFERENCE_ID","PHONE_NUMBER","CUSTOMER_GENDER","DATE_OF_BIRTH","FIRST_NAME","LAST_NAME","CUSTOMER_EMAIL","POST_CODE","HOUSE_NUMBER","AD_ID"
"C49","Organic","","3405391384","Male","1985-07-08"," Marcus","Lockett","marcus_lockett@outlook.com","G15 8PA","12",""
"C50","Organic","","9229263574","Male","1983-01-07"," Peter","Callahan","peter_callahan@hotmail.com","TA20 4NJ","18",""
"C51","Organic","","2924788818","Female","1993-03-12"," Ramon","Ontiveros Flores","ramon_ontiverosflores@outlook.com","DL5 4FF","6",""
"C52","Paid","","6293434208","Female","2000-03-02"," Fayyaad","el-Salaam","fayyaad_el-salaam@yahoo.com","WA11 9NT","33","AD1006"
"C53","Paid","","8282791701","Female","1990-07-13"," Jonathon","Trujillo","jonathon_trujillo@yahoo.com","CA15 6DB","8","AD1018"
"C54","Paid","","5978222480","Female","1984-10-17"," Bryan","Hang","bryan_hang@outlook.com","BD20 9HG","22","AD1029"
"C55","Organic","","3003006478","Female","1997-01-14"," Intisaar","al-Dada","intisaar_al-dada@yahoo.com","NR32 5BS","8",""
"C56","Paid","","4149866848","Male","1988-09-28"," Selena","Cruz","selena_cruz@gmail.com","CM21 9FF","6","AD1034"
"C57","Organic","","8514238836","Female","2003-02-13"," Pedro","Romero","pedro_romero@hotmail.com","BH24 3QA","11",""
"C58","Paid","","4605408633","Female","1987-03-20"," Hosna","Walter","hosna_walter@hotmail.com","KT11 2QL","30","AD1005"
"C59","Organic","","5150434985","Male","1999-07-15"," Hamna","al-Ansari","hamna_al-ansari@gmail.com","RM17 5AL","21",""
"C60","Organic","","1526096319","Female","2006-09-01"," Devon","Box","devon_box@yahoo.com","DH4 6DE","17",""
"C61","Organic","","7932155620","Male","1991-11-25"," Nikolas","Liang","nikolas_liang@yahoo.com","KT16 8JL","34",""
"C62","Paid","","4352459601","Female","1995-10-16"," Adriana","Torres","adriana_torres@outlook.com","W1U 4HF","3","AD1041"
"C63","Organic","","2161598461","Male","2001-04-05"," Alfred","Rambo","alfred_rambo@outlook.com","LE16 7FQ","4",""
"C64","Organic","","7824390222","Male","1997-01-19"," Shane","Roberts","shane_roberts@hotmail.com","LE4 7PQ","34",""
"C65","Referral","C64","3284840807","Male","2000-11-21"," Ronald","Bolton","ronald_bolton@hotmail.com","BH23 2FA","3",""
"C66","Organic","","8741066694","Male","2005-06-27"," Angelica","Tejada","angelica_tejada@gmail.com","CH1 6AL","28",""
"C67","Organic","","2260075813","Male","2000-12-14"," Eduardo","Meehan","eduardo_meehan@outlook.com","RG20 8PG","44",""
"C68","Paid","","3896063914","Female","1985-07-04"," Jasmine","Robinson","jasmine_robinson@outlook.com","BT74 8DG","26","AD1037"
"C69","Paid","","1140419956","Female","1997-12-26"," Cambria","Griffin","cambria_griffin@hotmail.com","CM2 6QD","42","AD1027"
"C70","Paid","","4118630305","Male","1984-09-04"," Crystal","Sherman","crystal_sherman@yahoo.com","G77 6XR","10","AD1041"
"C71","Organic","","3826475562","Female","1983-09-14"," Alan","Kowalski","alan_kowalski@gmail.com","WV10 7TS","2",""
"C72","Organic","","2158646256","Male","1981-01-01"," Mujaahida","el-Rassi","mujaahida_el-rassi@gmail.com","NE62 5PE","33",""
"C73","Paid","","5327586839","Female","2005-01-07"," Courtney","Withers","courtney_withers@gmail.com","M18 7EG","8","AD1034"
"C74","Referral","C71","8319086849","Male","1997-07-10"," Jasmine","Harvison","jasmine_harvison@outlook.com","W1J 0LF","27",""
"C75","Organic","","7355460158","Male","2002-05-19"," Deanna","Perez","deanna_perez@gmail.com","SK7 4EP","44",""
"C76","Organic","","6893983438","Male","2001-01-27"," Jade","Fernandez","jade_fernandez@yahoo.com","DY4 0XD","9",""
"C77","Organic","","3311322485","Male","1984-02-24"," Fanio","Fiddelke","fanio_fiddelke@yahoo.com","NN11 8AT","45",""
"C78","Paid","","4754927855","Female","1983-06-10"," Taylor","Greimann","taylor_greimann@outlook.com","HP15 7TT","19","AD1014"
"C79","Paid","","1680066330","Female","1984-01-16"," Richard","Plaatjes","richard_plaatjes@hotmail.com","HP23 5LD","1","AD1041"
"C80","Organic","","6702108645","Female","1981-04-24"," Lexenton","Gary","lexenton_gary@yahoo.com","WF7 5DU","45",""
"C81","Paid","","9193675450","Male","1981-08-14"," Khristopher","Carter","khristopher_carter@hotmail.com","NG22 8GN","25","AD1008"
"C82","Paid","","5287873198","Female","1990-11-06"," John","Swimmer","john_swimmer@gmail.com","PE24 4HS","35","AD1019"
"C83","Paid","","7221348408","Female","1986-09-30"," Taaliba","al-Obeid","taaliba_al-obeid@gmail.com","NE34 9PS","35","AD1049"
"C84","Organic","","2484769269","Male","1984-07-23"," Nasstaja","French","nasstaja_french@yahoo.com","CM7 5EH","46",""
"C85","Paid","","7050070302","Male","1995-08-21"," Daris","Sandoval","daris_sandoval@hotmail.com","RM3 0WB","19","AD1007"
"C86","Organic","","5985135674","Female","2001-07-12"," Morgan","Wilcox","morgan_wilcox@yahoo.com","CV8 1AP","21",""
"C87","Paid","","5138145436","Male","1984-06-02"," Richard","Hall","richard_hall@yahoo.com","B30 1XB","11","AD1023"
"C88","Organic","","7335492089","Female","1990-03-22"," Felisha","Houby","felisha_houby@gmail.com","G41 4QN","6",""
"C89","Organic","","7712863170","Female","1985-01-23"," Wajdi","al-Jaber","wajdi_al-jaber@hotmail.com","TR18 3JQ","5",""
"C90","Paid","","5029489713","Male","2001-04-03"," Eric","Garcia","eric_garcia@gmail.com","LE4 9JY","44","AD1030"
"C91","Paid","","4271790365","Female","1982-01-13"," Ebany","Trujillo","ebany_trujillo@outlook.com","NG13 7AL","15","AD1042"
"C92","Paid","","5222085458","Female","1990-03-19"," Thaamir","al-Younan","thaamir_al-younan@outlook.com","CF48 1BS","44","AD1023"
"C93","Organic","","4359341695","Male","1995-01-26"," Diarra","Jefferson","diarra_jefferson@outlook.com","PL32 9YP","11",""
"C94","Organic","","6418225451","Female","1996-12-08"," Edith","Reyes","edith_reyes@yahoo.com","PL14 3JP","46",""
"C95","Referral","C94","8050028559","Male","2002-10-30"," Mahkena","Murphy","mahkena_murphy@yahoo.com","NE20 0FA","16",""
"C96","Organic","","2743402990","Female","2001-06-28"," Donte","Fountain","donte_fountain@yahoo.com","SL0 9BL","18",""
"C97","Organic","","2108966947","Female","1983-12-17"," Eric","Allen II","eric_allenii@hotmail.com","S20 5FL","25",""
"C98","Paid","","7275040850","Male","2006-06-03"," Daijaniea","Montrey","daijaniea_montrey@outlook.com","GU34 4HE","33","AD1045"
"C99","Paid","","8090496103","Female","2005-04-06"," Badraan","al-Rasul","badraan_al-rasul@outlook.com","HR1 3DL","15","AD1042"
"C100","Referral","C90","5990798038","Male","1989-10-15"," Liam","Jain","liam_jain@yahoo.com","BT16 1RJ","5",""
"C101","Organic","","5345082484","Male","1989-08-09"," Michael","Bendell","michael_bendell@yahoo.com","G62 6DE","29",""
"C102","Paid","","8666778001","Female","2000-08-24"," Mariah","Sanchez-Acosta","mariah_sanchez-acosta@gmail.com","S35 9ZL","35","AD1040"
"C103","Organic","","9959579822","Female","1988-06-06"," Juwan","Asquith","juwan_asquith@gmail.com","NP16 6PZ","47",""
"C104","Paid","","4421415472","Female","1988-01-26"," Vinhcynt","Choi","vinhcynt_choi@hotmail.com","GU32 3PE","7","AD1042"
"C105","Referral","C104","5437620390","Female","1990-11-25"," Hunter","Henthorn","hunter_henthorn@gmail.com","DT4 0SY","6",""
"C106","Paid","","5820292393","Male","1998-05-25"," Olaya","Garcia","olaya_garcia@yahoo.com","PA30 8HD","40","AD1011"
"C107","Paid","","3477108708","Female","1980-04-08"," Courtney","Hutchens","courtney_hutchens@yahoo.com","DL4 2DL","6","AD1036"
"C108","Paid","","7536958170","Male","1993-09-03"," Shane","Baker","shane_baker@hotmail.com","NE32 5SU","43","AD1004"
"C109","Organic","","8647670908","Male","1986-12-06"," Shamaail","el-Mansouri","shamaail_el-mansouri@yahoo.com","NG34 7FZ","44",""
"C110","Organic","","1802859705","Male","1999-01-14"," Gwen","Shrestha","gwen_shrestha@yahoo.com","CT14 9SG","27",""
"C111","Organic","","3184311653","Male","1985-11-21"," Camilo","Gonzalez","camilo_gonzalez@yahoo.com","GU21 2JP","14",""
"C112","Organic","","1161500369","Male","1996-08-06"," Aabid","el-Hamed","aabid_el-hamed@yahoo.com","CF48 2LP","3",""
"C113","Organic","","8308644389","Male","1992-10-09"," Andrea","Tovar-Jimenez","andrea_tovar-jimenez@hotmail.com","LA4 6HD","10",""
"C114","Organic","","8738354123","Male","1997-08-11"," Brittany","Rexwinkle","brittany_rexwinkle@yahoo.com","G11 6BQ","32",""
"C115","Organic","","8062143280","Female","2001-10-27"," Tristan","Garner","tristan_garner@gmail.com","LL19 9DF","10",""
"C116","Paid","","8039141785","Female","2006-12-27"," Musheera","al-Karimi","musheera_al-karimi@yahoo.com","MK5 6ET","42","AD1034"
"C117","Organic","","8917380461","Female","1987-12-15"," Matthew","Roberts","matthew_roberts@gmail.com","NE23 7XB","46",""
"C118","Referral","C114","2264727612","Female","1998-07-17"," Richard","Baker","richard_baker@outlook.com","PL28 8RF","32",""
"C119","Paid","","9601880111","Female","2002-04-02"," Suhaib","al-Munir","suhaib_al-munir@gmail.com","TN23 3LZ","21","AD1041"
"C120","Organic","","1308025906","Female","1997-06-15"," Nazeema","el-Rahimi","nazeema_el-rahimi@gmail.com","TF7 5TJ","38",""
"C121","Paid","","8696013864","Female","1985-11-15"," Shania","Weiss","shania_weiss@gmail.com","BT11 9GD","34","AD1043"
"C122","Organic","","2534348971","Female","1993-12-04"," Fateena","al-Musa","fateena_al-musa@gmail.com","OX3 7BN","35",""
"C123","Organic","","7130998265","Female","1981-07-11"," Richard","Archuleta","richard_archuleta@hotmail.com","KT13 3JX","33",""
"C124","Organic","","3343282948","Female","1987-06-20"," Wayne","Craig","wayne_craig@outlook.com","TN2 3FW","21",""
"C125","Paid","","9547060851","Male","1992-09-08"," Michael","Sullivan","michael_sullivan@gmail.com","KY6 3PU","17","AD1030"
"C126","Paid","","3137507776","Female","1997-08-18"," Ayush","Katamaneni","ayush_katamaneni@hotmail.com","G32 9EG","26","AD1038"
"C127","Paid","","8143062207","Female","1997-03-10"," Ramzi","al-Amara","ramzi_al-amara@gmail.com","TA24 5TY","32","AD1004"
"C128","Organic","","3289756921","Female","1981-02-10"," Salvador","Diaz","salvador_diaz@outlook.com","CO10 9NQ","32",""
"C129","Referral","C122","1959387744","Female","1985-09-10"," Ashley","Devincenzo","ashley_devincenzo@outlook.com","BT60 3TT","19",""
"C130","Organic","","3466548941","Female","2001-08-05"," Joseph","Bustos-Abarca","joseph_bustos-abarca@yahoo.com","W1W 8PZ","5",""
"C131","Organic","","9644905575","Male","1984-11-03"," Alawi","al-Samra","alawi_al-samra@gmail.com","CO4 3ZD","40",""
"C132","Referral","C127","1896630687","Female","2002-03-28"," Yoshi","Ruppert","yoshi_ruppert@gmail.com","BS20 7DZ","26",""
"C133","Organic","","4975840528","Female","1995-01-17"," Neeshaan","al-Haidar","neeshaan_al-haidar@yahoo.com","W1S 3BL","26",""
"C134","Organic","","4578164219","Female","1980-07-03"," Matthew","Yoshihara","matthew_yoshihara@outlook.com","CH3 6LJ","12",""
"C135","Paid","","6659462882","Male","1983-07-31"," Tiana","Bullard","tiana_bullard@yahoo.com","DE56 4FW","42","AD1007"
"C136","Paid","","6643845881","Male","1980-01-24"," Kayla","Hinton","kayla_hinton@gmail.com","NG32 3RS","1","AD1039"
"C137","Referral","C131","2583251265","Female","1989-01-26"," Kathia","Suarez","kathia_suarez@gmail.com","WV99 1YG","46",""
"C138","Organic","","4957362889","Female","1989-03-04"," Kaalim","al-Majeed","kaalim_al-majeed@hotmail.com","CV21 3SB","38",""
"C139","Organic","","2311009475","Male","1997-02-22"," Shelby","Busby","shelby_busby@gmail.com","LE5 3BA","32",""
"C140","Paid","","9704835652","Female","1993-06-19"," Kaarim","el-Fahs","kaarim_el-fahs@outlook.com","SW8 4UU","34","AD1040"
"C141","Referral","C139","1211484786","Male","1991-08-10"," Annika","Cao","annika_cao@hotmail.com","E17 9PU","23",""
"C142","Organic","","6520624918","Female","2002-12-13"," Autriana","Price","autriana_price@gmail.com","AB54 4NA","42",""
"C143","Paid","","7418944576","Female","1987-07-05"," Karie","Xiong","karie_xiong@hotmail.com","G52 3DB","5","AD1001"
"C144","Organic","","7469267140","Male","1986-03-15"," Juhaina","al-Mahdi","juhaina_al-mahdi@gmail.com","SK3 0BY","35",""
"C145","Referral","C144","3605347744","Male","1989-05-03"," Cassie","Pinnecoose","cassie_pinnecoose@hotmail.com","WS14 9JT","14",""
"C146","Organic","","1042480267","Male","1988-12-29"," Jesse","Corbett","jesse_corbett@hotmail.com","BA1 2QQ","43",""
"C147","Organic","","9376593719","Male","1989-09-30"," Mia","Martinez","mia_martinez@gmail.com","EX2 8GJ","26",""
"C148","Organic","","7138906354","Female","2000-09-26"," Destiny","Paul","destiny_paul@hotmail.com","PH2 9NN","25",""
"C149","Organic","","6938808955","Male","2001-11-08"," Ivy","Mosier","ivy_mosier@gmail.com","WA12 8DT","42",""
"C150","Referral","C140","4005780822","Female","1980-12-21"," Eric","Sanderlin","eric_sanderlin@hotmail.com","HA2 0FP","37",""
"C151","Paid","","6403039903","Female","1992-11-14"," Alexander","Shah","alexander_shah@gmail.com","KA10 6UA","16","AD1032"
"C152","Organic","","6689932275","Male","1990-10-11"," Jacob","Stafford","jacob_stafford@hotmail.com","BD17 6NR","46",""
"C153","Paid","","5691901148","Female","1991-08-11"," Shaylynn","Lerum","shaylynn_lerum@gmail.com","TS6 0SS","33","AD1004"
"C154","Referral","C151","6262745095","Male","1988-12-31"," Shukriyya","al-Chahine","shukriyya_al-chahine@gmail.com","ST1 1LA","8",""
"C155","Paid","","9130610522","Male","1998-01-09"," Ashley","Fender","ashley_fender@yahoo.com","DL3 0JZ","7","AD1035"
"C156","Referral","C148","2736711323","Female","1984-10-11"," Joseph","Hunolt","joseph_hunolt@hotmail.com","CW11 3BP","30",""
"C157","Organic","","7099358405","Female","1992-01-20"," Noora","el-Rashid","noora_el-rashid@gmail.com","EX6 8HF","20",""
"C158","Paid","","7265212123","Male","1996-12-16"," Cynthia","Lofton","cynthia_lofton@yahoo.com","DN14 9JP","11","AD1004"
"C159","Organic","","4628828331","Male","2001-11-24"," Saraswoti","Phan","saraswoti_phan@outlook.com","GL52 3PQ","27",""
"C160","Organic","","7135874546","Female","2004-03-17"," Lyndsey","Hanson","lyndsey_hanson@hotmail.com","WA55 1EL","41",""
"C161","Paid","","4173820820","Female","1998-07-23"," Marissa","Dalton","marissa_dalton@hotmail.com","S8 0NR","12","AD1025"
"C162","Referral","C157","3917815604","Female","2001-05-29"," Kadijah","Wash","kadijah_wash@hotmail.com","TN38 9LE","47",""
"C163","Organic","","1403748619","Male","1986-04-21"," Emily","Directo","emily_directo@outlook.com","DH4 5FB","36",""
"C164","Organic","","7858436018","Male","2002-11-08"," Zachary","Hannan","zachary_hannan@gmail.com","SA2 9AL","6",""
"C165","Referral","C164","7145531022","Male","2004-05-23"," Miguel","Montoya","miguel_montoya@yahoo.com","NG17 2PT","8",""
"C166","Paid","","2719743086","Female","1992-05-27"," Matthew","Zand","matthew_zand@hotmail.com","LE19 2HF","33","AD1049"
"C167","Paid","","2739414931","Male","1985-11-12"," Tulaiha","al-Akbari","tulaiha_al-akbari@gmail.com","BH2 5DA","48","AD1043"
"C168","Organic","","8327287558","Male","2002-08-02"," Alia","Cone","alia_cone@gmail.com","HU6 9UE","29",""
"C169","Referral","C162","6929393966","Female","1982-03-06"," Lakota","Dall","lakota_dall@yahoo.com","DN11 9EU","21",""
"C170","Organic","","3672620979","Female","2003-10-10"," Kandice","Guzman","kandice_guzman@yahoo.com","S11 9RS","46",""
"C171","Referral","C169","1834965250","Male","1995-01-11"," Joseph","Roberts","joseph_roberts@gmail.com","CR0 7AA","18",""
"C172","Organic","","6286427823","Female","2002-08-06"," Rodney","Pinto","rodney_pinto@outlook.com","PR2 9QS","28",""
"C173","Organic","","8955183575","Male","1994-08-01"," Timothy","Vann","timothy_vann@yahoo.com","GU16 6NR","20",""
"C174","Organic","","2996018959","Female","1981-12-22"," Alicia","Quintero","alicia_quintero@hotmail.com","OX29 8HA","43",""
"C175","Paid","","4521114040","Female","1992-01-04"," Adelia","Salgado","adelia_salgado@gmail.com","BD23 9SG","39","AD1038"
"C176","Referral","C168","9954426187","Female","2006-07-27"," Tarah","Ansari","tarah_ansari@hotmail.com","YO8 3XD","29",""
"C177","Organic","","3954520989","Male","2003-11-21"," Nicole","Santos","nicole_santos@yahoo.com","KY4 0AG","32",""
"C178","Organic","","2725548373","Female","1980-04-14"," Aamir","el-Hanif","aamir_el-hanif@hotmail.com","PR7 6PU","46",""
"C179","Paid","","3695141507","Female","1994-12-13"," Amjad","al-Doud","amjad_al-doud@gmail.com","EN4 8DP","10","AD1046"
"C180","Paid","","3778927219","Female","1982-08-12"," Santee","Mills","santee_mills@yahoo.com","SW6 7QS","11","AD1031"
"C181","Organic","","1372902903","Male","1987-04-01"," Cassandrea","Chen","cassandrea_chen@gmail.com","SK10 1AW","29",""
"C182","Paid","","1166192929","Male","1984-01-21"," Safar","el-Waheed","safar_el-waheed@hotmail.com","TS5 8HT","2","AD1029"
"C183","Paid","","5124589348","Female","2001-05-26"," Christina","Alford","christina_alford@yahoo.com","LL27 0YX","37","AD1045"
"C184","Paid","","4897962784","Female","1999-08-10"," Huda","al-Sabir","huda_al-sabir@outlook.com","HR6 8SG","13","AD1041"
"C185","Organic","","9828623125","Female","1996-06-01"," Edgar","Felix Vargas","edgar_felixvargas@yahoo.com","HA8 6SE","2",""
"C186","Referral","C178","2679467832","Male","1983-07-02"," Muneera","el-Salik","muneera_el-salik@yahoo.com","YO8 4YE","50",""
"C187","Paid","","2375857137","Male","1993-08-02"," Jennifer","Vasquez","jennifer_vasquez@hotmail.com","NE32 5AY","47","AD1044"
"C188","Organic","","6466106572","Female","1992-06-10"," Alexandra","Clark","alexandra_clark@outlook.com","RH20 3DB","23",""
"C189","Organic","","6860122808","Male","1983-12-21"," Leopoldo","Aguilar","leopoldo_aguilar@outlook.com","NW4 3DL","20",""
"C190","Organic","","8279702006","Female","1984-01-14"," Liset","Madera","liset_madera@yahoo.com","TN16 1AN","39",""
"C191","Organic","","1858663470","Female","2002-08-05"," Lucia","Betancur","lucia_betancur@gmail.com","TS17 0XR","4",""
"C192","Organic","","2973367525","Male","1996-06-27"," Adeeb","al-Edris","adeeb_al-edris@hotmail.com","CV21 3HW","16",""
"C193","Organic","","5934952491","Male","1988-10-21"," Jasmine","Torrez","jasmine_torrez@yahoo.com","NN7 3HP","4",""
"C194","Organic","","7213480253","Female","2001-06-09"," Kameel","el-Zafar","kameel_el-zafar@gmail.com","SG13 7BL","14",""
"C195","Organic","","7439792393","Female","1986-03-18"," Cody","Salt","cody_salt@hotmail.com","BT47 3AT","39",""
"C196","Paid","","2687940192","Female","1988-12-23"," Hadiyya","al-Zaki","hadiyya_al-zaki@gmail.com","M40 0HP","3","AD1034"
"C197","Paid","","5430162309","Male","1997-10-27"," Ana","Nungaray","ana_nungaray@hotmail.com","RG30 6AY","35","AD1024"
"C198","Paid","","5276855219","Male","2002-07-14"," Kevin","Fulster","kevin_fulster@outlook.com","B80 7NP","40","AD1016"
"C199","Organic","","6595213733","Male","1996-05-25"," Zaaid","el-Ameen","zaaid_el-ameen@outlook.com","SE18 2PX","44",""
"C200","Organic","","1860985546","Male","1999-01-07"," Makeyla","Venable","makeyla_venable@gmail.com","OL4 1EY","44",""
